repo,commenter,month,churn_add,churn_del,comment_count,commit_count,issue_count,pr_count,thread_comments_total,thread_participants_total,threads_participated,active_months,active,last_active_month,engagement_label
godotengine/godot,AThousandShips,2024/11/1,590,587,0,14,0,18,0,0,0,15,TRUE,2025/4/1,Engaged
godotengine/godot,AThousandShips,2024/12/1,72,11,0,3,0,4,0,0,0,15,TRUE,2025/4/1,Engaged
godotengine/godot,AThousandShips,2025/1/1,9,1,0,2,1,5,0,0,0,15,TRUE,2025/4/1,Engaged
godotengine/godot,AThousandShips,2025/2/1,9286,2034,0,6,0,4,0,0,0,15,TRUE,2025/4/1,Engaged
godotengine/godot,AThousandShips,2025/3/1,14,5,0,3,0,4,0,0,0,15,TRUE,2025/4/1,Engaged
godotengine/godot,AThousandShips,2025/4/1,12,8,1,1,0,1,36,9,1,15,TRUE,2025/4/1,Engaged
ClickHouse/ClickHouse,AVMusorin,2024/2/1,0,0,0,0,0,1,0,0,0,5,TRUE,2025/4/1,Engaged
ClickHouse/ClickHouse,AVMusorin,2024/7/1,0,0,0,0,0,1,0,0,0,5,TRUE,2025/4/1,Engaged
ClickHouse/ClickHouse,AVMusorin,2025/1/1,0,0,0,0,0,1,0,0,0,5,TRUE,2025/4/1,Engaged
ClickHouse/ClickHouse,AVMusorin,2025/2/1,0,0,0,0,0,3,0,0,0,5,TRUE,2025/4/1,Engaged
ClickHouse/ClickHouse,AVMusorin,2025/4/1,0,0,0,0,0,1,0,0,0,5,TRUE,2025/4/1,Engaged
apache/airflow,Aakcht,2024/2/1,2,2,0,1,0,1,0,0,0,9,TRUE,2025/2/1,Disengaged
apache/airflow,Aakcht,2024/3/1,3,0,0,1,0,1,0,0,0,9,TRUE,2025/2/1,Disengaged
apache/airflow,Aakcht,2024/4/1,47,2,0,1,0,1,0,0,0,9,TRUE,2025/2/1,Disengaged
apache/airflow,Aakcht,2024/7/1,39,1,0,1,0,1,0,0,0,9,TRUE,2025/2/1,Disengaged
apache/airflow,Aakcht,2024/8/1,1,1,0,1,0,1,0,0,0,9,TRUE,2025/2/1,Disengaged
apache/airflow,Aakcht,2024/10/1,3,1,0,1,0,1,0,0,0,9,TRUE,2025/2/1,Disengaged
apache/airflow,Aakcht,2024/12/1,0,0,0,0,0,1,0,0,0,9,TRUE,2025/2/1,Disengaged
apache/airflow,Aakcht,2025/1/1,5,5,0,1,0,1,0,0,0,9,TRUE,2025/2/1,Disengaged
apache/airflow,Aakcht,2025/2/1,2,2,0,1,0,0,0,0,0,9,TRUE,2025/2/1,Disengaged
pulumi/pulumi,AaronFriel,2024/3/1,0,0,2,0,0,2,5,4,1,6,TRUE,2024/9/1,Disengaged
pulumi/pulumi,AaronFriel,2024/4/1,20,9,0,1,0,2,0,0,0,6,TRUE,2024/9/1,Disengaged
pulumi/pulumi,AaronFriel,2024/6/1,4,1,1,1,0,0,5,5,1,6,TRUE,2024/9/1,Disengaged
pulumi/pulumi,AaronFriel,2024/7/1,22,13,0,2,0,2,0,0,0,6,TRUE,2024/9/1,Disengaged
pulumi/pulumi,AaronFriel,2024/8/1,4043,12478,5,8,0,11,11,5,2,6,TRUE,2024/9/1,Disengaged
pulumi/pulumi,AaronFriel,2024/9/1,799,535,1,1,0,1,6,3,1,6,TRUE,2024/9/1,Disengaged
vercel/next.js,AbhiShake1,2024/4/1,0,0,0,0,0,4,0,0,0,4,TRUE,2024/9/1,Disengaged
vercel/next.js,AbhiShake1,2024/5/1,24,3,0,1,0,1,0,0,0,4,TRUE,2024/9/1,Disengaged
vercel/next.js,AbhiShake1,2024/8/1,0,0,0,0,0,1,0,0,0,4,TRUE,2024/9/1,Disengaged
vercel/next.js,AbhiShake1,2024/9/1,0,0,0,0,0,1,0,0,0,4,TRUE,2024/9/1,Disengaged
huggingface/diffusers,AbhinavGopal,2024/3/1,0,0,0,0,1,2,0,0,0,4,TRUE,2025/3/1,Engaged
huggingface/diffusers,AbhinavGopal,2024/4/1,0,0,0,0,2,0,0,0,0,4,TRUE,2025/3/1,Engaged
huggingface/diffusers,AbhinavGopal,2024/7/1,0,0,0,0,1,1,0,0,0,4,TRUE,2025/3/1,Engaged
huggingface/diffusers,AbhinavGopal,2025/3/1,0,0,0,0,3,0,0,0,0,4,TRUE,2025/3/1,Engaged
apache/superset,Abhishek-kumar-samsung,2024/4/1,201,16,0,1,0,0,0,0,0,3,TRUE,2025/4/1,Engaged
apache/superset,Abhishek-kumar-samsung,2025/3/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/4/1,Engaged
apache/superset,Abhishek-kumar-samsung,2025/4/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/4/1,Engaged
huggingface/transformers,AbrahamSanders,2024/7/1,0,0,0,0,1,0,0,0,0,3,TRUE,2024/12/1,Disengaged
huggingface/transformers,AbrahamSanders,2024/10/1,0,0,0,0,2,0,0,0,0,3,TRUE,2024/12/1,Disengaged
huggingface/transformers,AbrahamSanders,2024/12/1,0,0,0,0,1,0,0,0,0,3,TRUE,2024/12/1,Disengaged
go-gitea/gitea,AdamMajer,2024/7/1,19,4,0,1,0,1,0,0,0,3,TRUE,2024/9/1,Disengaged
go-gitea/gitea,AdamMajer,2024/8/1,0,0,0,0,0,1,0,0,0,3,TRUE,2024/9/1,Disengaged
go-gitea/gitea,AdamMajer,2024/9/1,1,1,0,1,0,1,0,0,0,3,TRUE,2024/9/1,Disengaged
kubernetes/kubernetes,Adarsh-verma-14,2024/8/1,0,0,0,0,0,2,0,0,0,3,TRUE,2025/1/1,Disengaged
kubernetes/kubernetes,Adarsh-verma-14,2024/9/1,0,0,0,0,0,3,0,0,0,3,TRUE,2025/1/1,Disengaged
kubernetes/kubernetes,Adarsh-verma-14,2025/1/1,0,0,0,0,0,1,0,0,0,3,TRUE,2025/1/1,Disengaged
huggingface/diffusers,Adenialzz,2024/4/1,0,0,0,0,0,1,0,0,0,3,TRUE,2024/12/1,Disengaged
huggingface/diffusers,Adenialzz,2024/10/1,0,0,3,0,0,0,57,20,1,3,TRUE,2024/12/1,Disengaged
huggingface/diffusers,Adenialzz,2024/12/1,23,6,0,1,0,1,0,0,0,3,TRUE,2024/12/1,Disengaged
huggingface/transformers,Adibvafa,2024/5/1,0,0,0,0,0,1,0,0,0,3,TRUE,2024/10/1,Disengaged
huggingface/transformers,Adibvafa,2024/8/1,0,0,0,0,1,1,0,0,0,3,TRUE,2024/10/1,Disengaged
huggingface/transformers,Adibvafa,2024/10/1,25,1,0,1,0,0,0,0,0,3,TRUE,2024/10/1,Disengaged
pydantic/pydantic,AdolfoVillalobos,2024/8/1,299,3,4,2,0,3,16,3,1,3,TRUE,2024/10/1,Disengaged
